사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202410,2호선,홍대입구,1018,36,26192,3681,31450,19900,62063,43272,82814,114570,70128,150953,66312,124409,73992,145046,84709,160952,100916,180010,111904,167976,136218,168119,165693,184023,190329,209297,218588,247786,180911,185557,175719,116576,196580,96381,188444,77782,96089,52750,11671,20028,12,2008,0,1,0,0,20241103
202410,3호선,가락시장,59,5,3147,733,7633,6129,22003,11825,23625,27171,18076,14351,15939,11048,15186,12344,15073,13021,15027,13274,15288,14042,15818,16056,17105,17544,20855,21697,27745,27504,12253,19451,9712,12659,8466,10808,6031,10007,2585,5434,444,1686,2,40,0,0,0,0,20241103
202410,3호선,경복궁(정부서울청사),33,1,2391,1723,6257,15531,14176,43930,21855,140569,22451,112434,21983,84004,31330,78067,41843,69439,51498,71802,64206,63355,80252,51663,97692,45134,114031,43664,126722,45585,58975,28607,53656,14231,47803,11834,28220,10046,10136,5537,1081,1496,1,29,0,0,0,0,20241103
202410,3호선,경찰병원,6,1,3264,286,8282,3622,24703,9743,26437,27766,16486,15455,12459,8794,11631,7334,10755,8567,10538,10071,10762,9316,11218,10061,10701,10852,16449,16204,19709,22649,7403,17930,5658,11264,4648,9681,3335,9058,1015,5349,140,1429,0,0,0,0,0,0,20241103
202410,3호선,고속터미널,195,2,5838,4231,8055,36868,27364,51629,48233,79821,57783,101363,61023,103615,74241,111810,87856,103711,96331,104314,110349,109012,127762,113311,134946,114143,147408,120870,143318,122324,125023,75573,141103,50293,88332,39365,55693,27555,19961,12983,1742,2127,0,0,0,0,0,0,20241103
202410,3호선,교대(법원.검찰청),63,1,1849,812,4954,8171,10989,20578,16159,48017,14552,38117,16151,18905,20912,13300,22723,13289,27035,13334,31214,11835,33084,11623,35910,12534,53340,17315,69994,20667,34202,11602,30813,6401,28619,5603,23964,5167,8219,3072,1286,892,0,0,0,0,0,0,20241103
202410,3호선,구파발,184,2,13621,1608,34989,11265,86426,23869,84593,33867,51197,33370,36675,32541,35154,29417,36384,30329,34774,32010,35719,32408,40564,34292,46296,41504,44322,52211,35148,77390,22449,63996,17671,38030,14598,33384,11714,29679,3164,20565,585,7742,0,473,0,0,0,0,20241103
202410,3호선,금호,52,13,4547,674,10444,2648,27908,4873,38904,9378,23914,7588,16157,7295,13889,7507,13540,8825,12569,10436,11151,11966,10622,14696,11565,17650,12041,22481,11745,31310,8594,22037,6148,15292,4459,13255,3477,12039,1688,6297,315,1633,0,1,0,0,0,0,20241103
202410,3호선,남부터미널(예술의전당),30,4,3120,1378,9613,30858,28827,66019,46298,155077,40939,87786,38239,51882,42574,38480,42646,40763,45022,45889,46960,46719,51045,46702,65589,52608,106062,56864,132012,65501,62981,42847,46434,26743,41127,20570,30251,16964,9766,10217,848,2641,0,2,0,0,0,0,20241103
202410,3호선,녹번,54,1,10422,516,26539,3579,71793,8067,78241,17448,45208,11682,30561,10131,25375,11106,25217,12894,22300,15001,18686,17516,18219,22390,18784,29922,18705,40531,19295,62739,10322,52549,7725,32361,6233,28468,4433,25182,1682,14658,258,3688,0,0,0,0,0,0,20241103
202410,3호선,대청,85,2,4130,1064,12221,6945,32515,18780,39555,27856,23638,15224,19125,11124,16833,10135,17062,11205,16916,12944,15676,13398,18889,16749,21295,17987,26451,23903,27132,32676,12386,24877,8665,18208,7017,16843,5210,16574,1939,8484,338,2728,0,22,0,0,0,0,20241103
202410,3호선,대치,44,0,2936,555,13295,8507,30252,19910,30816,30783,20140,20166,16398,15238,15302,13842,18239,18484,18318,23093,16840,19997,18642,22861,21322,29448,33058,38557,29967,36153,19585,24334,15280,14844,19080,13880,37902,11996,3891,6585,371,1982,0,4,0,0,0,0,20241103
202410,3호선,도곡,76,3,1147,322,4459,4577,12095,14486,15341,21535,10320,16616,8302,8257,8388,8107,8547,7549,8533,8056,8992,8187,10618,8446,14124,9292,17822,11168,17826,13123,9078,10495,6889,6721,6206,6086,4749,5313,1297,3053,226,1659,0,250,0,0,0,0,20241103
202410,3호선,독립문,260,5,5319,999,6757,6506,16046,16362,20271,25398,17100,23567,15358,22638,15979,16276,18049,15587,17176,16249,18131,15178,21180,15479,21477,15429,20584,16742,18390,17860,9149,14771,6882,9928,5380,8599,3672,7398,1439,4454,151,2108,10,575,0,0,0,0,20241103
202410,3호선,동대입구,15,3,1738,1186,2955,9696,5809,16516,8806,66313,8799,43757,10826,42778,13462,33058,15200,26769,22119,31680,25014,22640,26997,20361,34155,21973,44920,25150,47129,26109,24350,13071,32846,7202,24617,6821,20718,5088,4992,3098,586,1076,0,59,0,0,0,0,20241103
